고객명,매출년월,사용량,사용열량
(복)미망인모자복지회,2020-01,1006.6528000000001,42891.7479
(복)미망인모자복지회,2020-02,1566.4548,66789.5565
(복)미망인모자복지회,2020-03,1441.614,61463.0444
(복)미망인모자복지회,2020-04,744.0908,31674.5256
(복)미망인모자복지회,2020-05,240.7644,10242.1364
(복)미망인모자복지회,2020-06,0.0,0.0
(복)미망인모자복지회,2020-07,0.0,0.0
(복)미망인모자복지회,2020-08,0.0,0.0
(복)미망인모자복지회,2020-09,0.0,0.0
(복)미망인모자복지회,2020-10,0.0,0.0
(복)미망인모자복지회,2020-11,0.0,0.0
(복)미망인모자복지회,2020-12,0.0,0.0
(복)미망인모자복지회,2021-01,116.9144,4980.486
(복)미망인모자복지회,2021-02,0.0,0.0
(복)미망인모자복지회,2021-03,0.0,0.0
(복)미망인모자복지회,2021-04,0.0,0.0
(복)미망인모자복지회,2021-05,0.0,0.0
(복)미망인모자복지회,2021-06,0.0,0.0
(유)대안에이엔씨,2020-01,4344.0,185095.498
(유)대안에이엔씨,2020-02,5147.0,219439.564
(유)대안에이엔씨,2020-03,5749.0,245117.712
(유)대안에이엔씨,2020-04,6273.0,267069.967
(유)대안에이엔씨,2020-05,3777.0,160811.74800000002
(유)대안에이엔씨,2020-06,5889.0,250700.69199999998
(유)대안에이엔씨,2020-07,5741.0,244098.21999999997
(유)대안에이엔씨,2020-08,2851.0,121217.561
(유)대안에이엔씨,2020-09,4327.0,185019.49300000002
(유)대안에이엔씨,2020-10,3509.0,149692.108
(유)대안에이엔씨,2020-11,3540.0,150928.18800000002
(유)대안에이엔씨,2020-12,3495.0,148971.75
(유)대안에이엔씨,2021-01,5291.0,225711.958
(유)대안에이엔씨,2021-02,8357.0,357317.498
(유)대안에이엔씨,2021-03,6293.0,267800.588
(유)대안에이엔씨,2021-04,7354.0,313983.016
(유)대안에이엔씨,2021-05,5520.0,236026.584
(유)대안에이엔씨,2021-06,4281.0,182480.28100000002
(유)대안에이엔씨,2021-07,4854.0,206907.294
(유)대안에이엔씨,2021-08,6230.0,265254.81
(유)대안에이엔씨,2021-09,5579.0,237049.27400000003
(유)대안에이엔씨,2021-10,3146.0,133414.46600000001
(유)대안에이엔씨,2021-11,5101.0,217157.8
(유)대안에이엔씨,2021-12,6113.0,259844.186
(유)대안에이엔씨,2022-01,4838.0,207080.892
(유)대안에이엔씨,2022-02,3455.0,149186.71500000003
(유)대안에이엔씨,2022-03,4469.0,192273.231
(유)대안에이엔씨,2022-04,5067.0,217094.895
(유)대안에이엔씨,2022-05,2324.0,99675.94
(유)대안에이엔씨,2022-06,3064.0,131096.086
(유)대안에이엔씨,2022-07,2569.0,109882.55299999999
(유)대안에이엔씨,2022-08,1961.0,84204.42
(유)대안에이엔씨,2022-09,2316.0,98836.976
(유)대안에이엔씨,2022-10,2045.0,87259.76000000001
(유)대안에이엔씨,2022-11,3377.0,144843.81
(유)대안에이엔씨,2022-12,2165.0,92935.70199999999
(유)대안에이엔씨,2023-01,2064.0,88799.073
(유)대안에이엔씨,2023-02,3242.0,139423.466
(유)대안에이엔씨,2023-03,1802.0,77737.402
(유)대안에이엔씨,2023-04,4226.0,181601.722
(유)대안에이엔씨,2023-05,2242.0,95866.136
(유)대안에이엔씨,2023-06,2902.0,123362.235
(유)대안에이엔씨,2023-07,3680.0,156918.016
(유)대안에이엔씨,2023-08,2071.0,88340.704
(유)대안에이엔씨,2023-09,2531.0,107502.223
(유)대안에이엔씨,2023-10,2878.0,122140.938
(유)대안에이엔씨,2023-11,5812.0,248343.894
(유)대안에이엔씨,2023-12,3626.0,154219.884
(유)대안에이엔씨,2024-01,3545.0,150931.601
(유)대안에이엔씨,2024-02,4456.0,190481.972
(유)대안에이엔씨,2024-03,4059.0,174355.68
(유)대안에이엔씨,2024-04,3456.0,147892.89
(유)대안에이엔씨,2024-05,3749.0,160140.637
(유)대안에이엔씨,2024-06,3127.0,132846.01
(유)대안에이엔씨,2024-07,4180.0,177704.10700000002
(유)대안에이엔씨,2024-08,1389.0,59051.943
(유)대안에이엔씨,2024-09,2975.0,126932.625
(유)대안에이엔씨,2024-10,2159.0,92263.251
(유)대안에이엔씨,2024-11,2199.0,93834.724
(유)대안에이엔씨,2024-12,3482.0,148679.796
(유)대안에이엔씨,2025-01,3136.0,134658.883
(유)대안에이엔씨,2025-02,3950.0,169787.125
(유)대안에이엔씨,2025-03,4021.0,172365.146
(유)대안에이엔씨,2025-04,4080.0,174745.792
(유)대안에이엔씨,2025-05,3548.0,150775.878
(유)대안에이엔씨,2025-06,4029.0,171164.876
(유)대안에이엔씨,2025-07,4300.0,182306.245
(유)대안에이엔씨,2025-08,3487.0,147942.663
(유)대안에이엔씨,2025-09,2752.0,117044.174
(유)대안에이엔씨,2025-10,2845.0,121599.525
